,SM,Temp,AirQuality,TDS,Height,Location
0,201,33,210,54,135,Parle
1,198,32.8,208,54,135,Parle
2,196,32.6,205,54,135,Parle
3,192,32.2,202,54,135,Parle
4,195,32.5,205,54,135,Parle
5,195,32.5,205,54,135,Parle
6,196,32.6,206,54,135,Parle
7,196,32.6,207,54,135,Parle
8,195,32.5,205,54,135,Parle
9,194,32.4,204,54,135,Parle
10,193,32.4,203,54,123,Parle
11,193,32.3,203,54,123,Parle
12,194,32.5,205,54,123,Parle
13,198,32.8,208,54,123,Parle
14,196,32.6,206,54,123,Parle
15,196,32.6,206,54,123,Parle
16,197,32.6,206,54,123,Parle
17,195,32.5,205,54,123,Parle
18,195,32.5,205,54,123,Parle
19,197,32.7,207,54,123,Parle
20,198,32.8,208,54,111,Parle
21,198,32.8,208,54,111,Parle
22,197,32.7,207,54,111,Parle
23,201,33.1,211,54,111,Parle
24,201,33,210,54,111,Parle
25,198,32.8,208,54,111,Parle
26,196,32.6,206,54,111,Parle
27,197,32.7,207,54,111,Parle
28,195,32.5,205,54,111,Parle
29,197,32.7,207,54,111,Parle
30,197,32.7,207,54,127,Parle
31,198,32.8,208,54,127,Parle
32,200,33,209,54,127,Parle
33,200,33,210,54,127,Parle
34,200,33.1,211,54,127,Parle
35,201,33.1,211,54,127,Parle
36,202,33.2,211,54,127,Parle
37,202,33.2,212,54,127,Parle
38,201,33.1,210,54,127,Parle
39,199,32.9,209,54,127,Parle
40,198,32.7,207,54,96,Parle
41,198,32.8,207,54,96,Parle
42,197,32.7,207,54,96,Parle
43,197,32.7,207,54,96,Parle
44,198,32.8,207,54,96,Parle
45,198,32.8,207,54,96,Parle
46,197,32.8,207,54,96,Parle
47,199,32.9,209,54,96,Parle
48,200,33,210,54,96,Parle
49,200,33,210,54,96,Parle
50,210,35,200,50,53,Andheri
51,210,35,200,50,53,Andheri
52,208,35,200,50,53,Andheri
53,210,35,199,50,53,Andheri
54,210,35,200,50,53,Andheri
55,210,35,200,50,53,Andheri
56,210,35,200,50,53,Andheri
57,210,35,200,50,53,Andheri
58,241,35,200,50,53,Andheri
59,210,35,200,50,53,Andheri
60,210,35,200,50,56,Andheri
61,210,35,200,50,56,Andheri
62,210,35,200,50,56,Andheri
63,210,35,200,50,56,Andheri
64,210,35,200,50,56,Andheri
65,210,35,200,50,56,Andheri
66,210,35,200,50,56,Andheri
67,210,35,200,50,56,Andheri
68,221,35,200,50,56,Andheri
69,210,35,200,50,56,Andheri
70,210,35,200,50,61,Andheri
71,210,35,200,50,61,Andheri
72,210,35,200,50,61,Andheri
73,210,35,200,50,61,Andheri
74,210,35,200,50,61,Andheri
75,210,35,200,50,61,Andheri
76,210,35,200,50,61,Andheri
77,209,35,200,50,61,Andheri
78,210,35,200,50,61,Andheri
79,210,35,200,50,61,Andheri
80,210,35,200,50,80,Andheri
81,210,35,200,50,80,Andheri
82,210,35,200,50,80,Andheri
83,210,35,200,50,80,Andheri
84,210,35,200,50,80,Andheri
85,221,35,200,50,80,Andheri
86,210,35,200,50,80,Andheri
87,210,35,199,50,80,Andheri
88,210,35,199,50,80,Andheri
89,210,35,200,50,80,Andheri
90,210,35,199,50,91,Andheri
91,210,35,200,50,91,Andheri
92,210,35,200,50,91,Andheri
93,210,35,200,50,91,Andheri
94,210,35,200,50,91,Andheri
95,233,35,200,50,91,Andheri
96,210,35,199,50,91,Andheri
97,209,34.9,199,50,91,Andheri
98,209,35,199,50,91,Andheri
99,210,35,199,50,91,Andheri
100,171,34.1,211,52,145,Goregaon
101,164,33.4,204,52,145,Goregaon
102,173,34.3,213,52,145,Goregaon
103,177,34.7,217,52,145,Goregaon
104,168,33.8,208,52,145,Goregaon
105,203,37.3,243,52,145,Goregaon
106,190,36,230,52,145,Goregaon
107,178,34.8,218,52,145,Goregaon
108,194,36.4,234,52,145,Goregaon
109,128,29.8,168,52,145,Goregaon
110,136,30.6,176,52,130,Goregaon
111,155,32.5,195,52,130,Goregaon
112,159,32.9,199,52,130,Goregaon
113,176,34.6,216,52,130,Goregaon
114,191,36.1,231,52,130,Goregaon
115,185,35.5,225,52,130,Goregaon
116,180,35,220,52,130,Goregaon
117,174,34.4,214,52,130,Goregaon
118,169,33.9,209,52,130,Goregaon
119,171,34.1,211,52,130,Goregaon
120,173,34.3,213,52,69,Goregaon
121,171,34.1,211,52,69,Goregaon
122,170,34,210,52,69,Goregaon
123,170,34,210,52,69,Goregaon
124,170,34,210,52,69,Goregaon
125,170,34,210,52,69,Goregaon
126,171,34.1,211,52,69,Goregaon
127,172,34.2,212,52,69,Goregaon
128,175,34.5,214,52,69,Goregaon
129,173,34.3,213,52,69,Goregaon
130,169,33.9,209,52,121,Goregaon
131,170,34,210,52,121,Goregaon
132,172,34.2,212,52,121,Goregaon
133,172,34.2,212,52,121,Goregaon
134,170,34.1,211,52,121,Goregaon
135,170,34,210,52,121,Goregaon
136,170,34,210,52,121,Goregaon
137,164,33.4,204,52,121,Goregaon
138,211,38.1,250,52,121,Goregaon
139,138,30.8,178,52,121,Goregaon
140,117,28.7,157,52,59,Goregaon
141,143,31.4,184,52,59,Goregaon
142,158,32.8,198,52,59,Goregaon
143,163,33.3,203,52,59,Goregaon
144,167,33.7,207,52,59,Goregaon
145,167,33.7,206,52,59,Goregaon
146,170,33.9,209,52,59,Goregaon
147,168,33.8,208,52,59,Goregaon
148,173,34.3,213,52,59,Goregaon
149,181,35.1,221,52,59,Goregaon
150,178,30.8,198,46,51,Bhandup
151,177,30.7,197,46,51,Bhandup
152,177,30.7,197,46,51,Bhandup
153,171,30.1,191,46,51,Bhandup
154,173,30.3,193,46,51,Bhandup
155,176,30.6,196,46,51,Bhandup
156,177,30.7,197,46,51,Bhandup
157,173,30.3,193,46,51,Bhandup
158,174,30.4,194,46,51,Bhandup
159,173,30.3,193,46,51,Bhandup
160,174,30.4,194,46,56,Bhandup
161,177,30.7,197,46,56,Bhandup
162,178,30.7,197,46,56,Bhandup
163,178,30.8,198,46,56,Bhandup
164,178,30.8,198,46,56,Bhandup
165,178,30.8,198,46,56,Bhandup
166,179,30.9,199,46,56,Bhandup
167,179,30.8,198,46,56,Bhandup
168,178,30.8,198,46,56,Bhandup
169,179,30.9,199,46,56,Bhandup
170,180,31,200,46,53,Bhandup
171,176,30.5,195,46,53,Bhandup
172,175,30.5,195,46,53,Bhandup
173,171,30.1,191,46,53,Bhandup
174,166,29.6,186,46,53,Bhandup
175,170,30,190,46,53,Bhandup
176,174,30.4,194,46,53,Bhandup
177,180,31.1,201,46,53,Bhandup
178,174,30.4,194,46,53,Bhandup
179,171,30.1,191,46,53,Bhandup
180,174,30.4,194,46,63,Bhandup
181,176,30.6,196,46,63,Bhandup
182,177,30.7,197,46,63,Bhandup
183,176,30.6,196,46,63,Bhandup
184,176,30.6,196,46,63,Bhandup
185,175,30.5,195,46,63,Bhandup
186,174,30.4,194,46,63,Bhandup
187,177,30.7,197,46,63,Bhandup
188,176,30.6,196,46,63,Bhandup
189,176,30.6,196,46,63,Bhandup
190,178,30.8,198,46,120,Bhandup
191,177,30.7,197,46,120,Bhandup
192,178,30.8,198,46,120,Bhandup
193,177,30.8,197,46,120,Bhandup
194,177,30.7,197,46,120,Bhandup
195,177,30.7,197,46,120,Bhandup
196,177,30.7,197,46,120,Bhandup
197,149,27.9,169,46,120,Bhandup
198,163,29.3,183,46,120,Bhandup
199,154,28.4,174,46,120,Bhandup
200,239,33.9,219,45,50,Mulund
201,239,33.9,219,45,50,Mulund
202,239,33.9,219,45,50,Mulund
203,240,33.9,219,45,50,Mulund
204,240,33.9,219,45,50,Mulund
205,240,33.9,219,45,50,Mulund
206,239,33.9,219,45,50,Mulund
207,239,33.9,219,45,50,Mulund
208,239,33.9,219,45,50,Mulund
209,239,33.9,219,45,50,Mulund
210,239,33.9,219,45,68,Mulund
211,239,33.9,219,45,68,Mulund
212,239,33.9,219,45,68,Mulund
213,239,33.9,219,45,68,Mulund
214,239,33.9,219,45,68,Mulund
215,239,33.9,219,45,68,Mulund
216,239,33.9,219,45,68,Mulund
217,239,33.9,219,45,68,Mulund
218,239,33.9,219,45,68,Mulund
219,239,33.9,219,45,68,Mulund
220,239,33.9,219,45,59,Mulund
221,239,33.9,219,45,59,Mulund
222,239,33.9,219,45,59,Mulund
223,239,33.9,219,45,59,Mulund
224,239,33.9,219,45,59,Mulund
225,239,33.9,219,45,59,Mulund
226,239,33.9,219,45,59,Mulund
227,239,33.9,219,45,59,Mulund
228,239,33.9,219,45,59,Mulund
229,239,33.9,219,45,59,Mulund
230,239,33.9,219,45,62,Mulund
231,239,33.9,219,45,62,Mulund
232,239,33.9,219,45,62,Mulund
233,239,33.9,219,45,62,Mulund
234,239,33.9,219,45,62,Mulund
235,239,33.9,219,45,62,Mulund
236,239,33.9,219,45,62,Mulund
237,239,33.9,219,45,62,Mulund
238,239,33.9,219,45,62,Mulund
239,239,33.9,219,45,62,Mulund
240,239,33.9,219,45,66,Mulund
241,239,33.9,219,45,66,Mulund
242,239,33.9,219,45,66,Mulund
243,239,33.9,219,45,66,Mulund
244,239,33.9,219,45,66,Mulund
245,239,33.9,219,45,66,Mulund
246,239,33.9,219,45,66,Mulund
247,239,33.9,219,45,66,Mulund
248,239,33.9,219,45,66,Mulund
249,239,33.9,218,45,66,Mulund
250,170,30,200,46,66,Nahur
251,174,30.4,204,46,66,Nahur
252,187,31.7,216,46,66,Nahur
253,171,30.1,201,46,66,Nahur
254,180,31,209,46,66,Nahur
255,172,30.2,202,46,66,Nahur
256,171,30.1,201,46,66,Nahur
257,172,30.2,202,46,66,Nahur
258,174,30.4,204,46,66,Nahur
259,169,29.9,199,46,66,Nahur
260,174,30.4,204,46,83,Nahur
261,176,30.6,206,46,83,Nahur
262,171,30.1,201,46,83,Nahur
263,176,30.7,206,46,83,Nahur
264,174,30.5,204,46,83,Nahur
265,174,30.4,204,46,83,Nahur
266,175,30.5,205,46,83,Nahur
267,170,30,200,46,83,Nahur
268,170,30,200,46,83,Nahur
269,165,29.5,194,46,83,Nahur
270,168,29.8,198,46,102,Nahur
271,169,29.9,199,46,102,Nahur
272,172,30.2,202,46,102,Nahur
273,164,29.4,194,46,102,Nahur
274,179,30.9,209,46,102,Nahur
275,185,31.5,215,46,102,Nahur
276,176,30.6,206,46,102,Nahur
277,161,29.1,191,46,102,Nahur
278,168,29.8,198,46,102,Nahur
279,178,30.8,208,46,102,Nahur
280,167,29.7,197,46,58,Nahur
281,180,31,210,46,58,Nahur
282,176,30.6,206,46,58,Nahur
283,180,31,210,46,58,Nahur
284,180,31,210,46,58,Nahur
285,177,30.7,207,46,58,Nahur
286,189,31.9,219,46,58,Nahur
287,179,30.9,209,46,58,Nahur
288,174,30.4,204,46,58,Nahur
289,172,30.2,201,46,58,Nahur
290,178,30.8,208,46,94,Nahur
291,167,29.7,197,46,94,Nahur
292,166,29.6,196,46,94,Nahur
293,174,30.4,204,46,94,Nahur
294,161,29.1,191,46,94,Nahur
295,203,33.3,233,46,94,Nahur
296,177,30.7,207,46,94,Nahur
297,187,31.7,217,46,94,Nahur
298,179,30.9,209,46,94,Nahur
299,158,28.8,188,46,94,Nahur
